k	pvalue
0	0.9999999999999788
1	0.9999999999999788
2	0.9999999999999788
3	0.9999999999999788
4	0.9999999999999788
5	0.9999999999999788
6	0.9999999999999787
7	0.9999999999999759
8	0.9999999999999405
9	0.9999999999995787
10	0.9999999999965893
11	0.9999999999759989
12	0.9999999998550444
13	0.9999999992376952
14	0.99999999645782
15	0.9999999852728259
16	0.9999999446257383
17	0.9999998099819728
18	0.999999400219845
19	0.9999982466619906
20	0.9999952245602975
21	0.9999878177669704
22	0.999970755731525
23	0.9999336605734751
24	0.9998572583440654
25	0.9997076863358993
26	0.9994285213050156
27	0.9989304120656255
28	0.9980786506839112
29	0.9966796408025571
30	0.9944679407163977
31	0.9910962335033383
32	0.9861310265152519
33	0.9790569247201829
34	0.9692918202974771
35	0.9562142524910604
36	0.9392026006459684
37	0.9176838917761965
38	0.89118814270027
39	0.859402666800029
40	0.8222199745580032
41	0.7797729984252905
42	0.7324524337175803
43	0.6809028912029544
44	0.6259970309500971
45	0.568789512936914
46	0.5104550464111128
47	0.45221667809517907
48	0.39527146728400925
49	0.3407207400454952
50	0.2895112402960965
51	0.24239188744735823
52	0.1998887907976581
53	0.16229898364741854
54	0.12970133362077155
55	0.10198150521865644
56	0.07886684771282176
57	0.059966703132005354
58	0.04481382626907699
59	0.0329032593767901
60	0.023725944794708836
61	0.016795416094946024
62	0.011666927788984028
63	0.007949248150334381
64	0.005309978973389474
65	0.003475656255951075
66	0.0022280419315254965
67	0.0013979810877634256
68	0.0008580278816712092
69	0.0005147951748299154
70	0.0003017096546576614
71	0.00017259565907521977
72	9.629273642275767e-05
73	5.234642129399282e-05
74	2.770022165787406e-05
75	1.4253361271895255e-05
76	7.1233033781394e-06
77	3.453184047233041e-06
78	1.6215168496223709e-06
79	7.363998699697087e-07
80	3.2288830746647163e-07
81	1.3643051825549172e-07
82	5.543338404714051e-08
83	2.1607415653315354e-08
84	8.058412589620046e-09
85	2.866854824118015e-09
86	9.695919712921128e-10
87	3.1053180653779404e-10
88	9.375819729181623e-11
89	2.654852443397495e-11
90	7.007406528053339e-12
91	1.7117282952696823e-12
92	3.836443289932245e-13
93	7.806994297998697e-14
94	1.4238120128615363e-14
95	2.2891153362878072e-15
96	3.175078307404181e-16
97	3.6893539583184397e-17
98	3.4425022201934743e-18
99	2.4138496640172613e-19
100	1.1281896939221347e-20
101	2.6296773189686743e-22
