k	pvalue
0	1.000000000000004
1	1.000000000000004
2	1.000000000000004
3	1.000000000000004
4	1.000000000000004
5	1.000000000000004
6	1.000000000000004
7	1.000000000000004
8	1.0000000000000033
9	0.9999999999999963
10	0.9999999999999383
11	0.9999999999995269
12	0.9999999999970265
13	0.9999999999837147
14	0.9999999999207396
15	0.9999999996527582
16	0.9999999986164558
17	0.9999999949429922
18	0.9999999829178081
19	0.9999999463318526
20	0.9999998423005165
21	0.9999995644801096
22	0.9999988646555178
23	0.9999971954678853
24	0.9999934127831358
25	0.9999852430093588
26	0.999968379842895
27	0.9999350312694315
28	0.9998717006291392
29	0.9997559695930364
30	0.9995520742300086
31	0.9992051470185243
32	0.9986341526699887
33	0.9977237788706032
34	0.9963158433757036
35	0.9942011151419218
36	0.9911127679352819
37	0.9867229232492688
38	0.9806438232306904
39	0.9724350403924706
40	0.9616177406841686
41	0.9476963701380742
42	0.930187279960653
43	0.9086528346642233
44	0.8827385938098302
45	0.8522103697180807
46	0.8169874842919191
47	0.7771684884289707
48	0.7330460226326572
49	0.6851083730435202
50	0.6340265266912468
51	0.5806270046987484
52	0.5258522631552275
53	0.47071179754765574
54	0.41622808720478816
55	0.3633820389479876
56	0.3130625707162948
57	0.26602443047601126
58	0.22285736051998736
59	0.18396843664332657
60	0.14957801247699937
61	0.11972836244580848
62	0.0943030004923527
63	0.07305386988735053
64	0.055633209748386314
65	0.04162690533712472
66	0.030586469399602863
67	0.022057391170250778
68	0.015602319439998963
69	0.010818306736900658
70	0.007348038410205618
71	0.004885534019039466
72	0.0031772002336142116
73	0.002019325813303138
74	0.0012531565586000977
75	0.0007586052322621317
76	0.00044748079167281155
77	0.0002569060166597788
78	0.00014337032763499057
79	7.766341310734921e-05
80	4.077251926381684e-05
81	2.070897148004304e-05
82	1.0156580517694727e-05
83	4.79943240371065e-06
84	2.179818635777612e-06
85	9.489233875136026e-07
86	3.946797056924751e-07
87	1.562716881312306e-07
88	5.865568474950783e-08
89	2.0768471907410388e-08
90	6.8969774094595315e-09
91	2.133510563233706e-09
92	6.097136054512418e-10
93	1.593547513324107e-10
94	3.761344399906062e-11
95	7.890022551646525e-12
96	1.4400650318805908e-12
97	2.221599935664427e-13
98	2.7777218534571083e-14
99	2.6345870464878116e-15
100	1.6812908735228395e-16
101	5.399449920049447e-18
